Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_INTELLIGENCE,,Intelligence,知力,Intelligenz,Intelligence,Inteligencia,Inteligência,Интеллект,Intelligenza,智力,智力,지능,Inteligencja,Інтелект,Intelligentie,Zeka
L_HEALTH,,Health,体力,Gesundheit,Santé,Salud,Saúde,Здоровье,Salute,生命值,生命值,체력,Zdrowie,Здоров'я,Gezondheid,Sağlık
L_MAXHEALTH,,Max Health,最大HP,Maximale Gesundheit,Santé Max,Salud máxima,Saúde Máxima,Макс. здоровье,Salute Massima,最大生命值,最大生命值,최대 체력,Maksymalne Zdrowie,Максимальне здоров'я,Maximale Gezondheid,Maksimum Can
L_DEFENSE,,Defense,防御,Verteidigung,Défense,Defensa,Defesa,Защита,Difesa,防禦,防御,방어력,Obrona,Захист,Verdediging,Savunma
L_SPEED,,Speed,速度,Geschwindigkeit,Vitesse,Velocidad,Velocidade,Скорость,Velocità,速度,速度,속도,Szybkość,Швидкість,Snelheid,Hız
L_CHARGE,,Charge,チャージ,Ansturm,Charge,Cargar,Investida,Рывок,Carica,衝鋒,冲锋,돌격,Szarża,Заряд,Aanval,Şarj
L_CHARGES,,Charges,チャージ,Ladungen,Charges,Cargas,Cargas,Заряды,Cariche,充能,充能,차지,Ładunki,Заряди,Ladingen,Şarjlar
L_LIFE,,Life,生命,Leben,Vie,Vida,Vida,Жизнь,Vita,生命,生命,생명,Życie,Життя,Leven,Yaşam
L_DEATH,,Death,死,Tod,Mort,Muerte,Morte,Смерть,Morte,死亡,死亡,죽음,Śmierć,Смерть,Dood,Ölüm
L_CHAOS,,Chaos,カオス,Chaos,Chaos,Caos,Caos,Хаос,Caos,混沌,混沌,혼돈,Chaos,Хаос,Chaos,Kaos
L_SORCERY,,Sorcery,魔術,Zauberei,Sorcellerie,Hechicería,Feitiçaria,Колдовство,Stregoneria,巫術,巫术,마법,Czary,Чаклунство,Toverij,Büyücülük
L_NATURE,,Nature,自然,Natur,Nature,Naturaleza,Natureza,Природа,Natura,自然,自然,자연,Natura,Природа,Natuur,Doğa
L_ANIMATOR,,Animator,アニメーター,Animator,Animateur,Animador,Animador,Аниматор,Animatore,動畫師,动画师,애니메이터,Animator,Аніматор,Animator,Animatör
L_CABALIST,,Cabalist,カバリスト,Kabalist,Cabaliste,Cabalista,Cabalista,Кабалист,Cabalista,秘法師,秘术师,비술사,Kabalista,Кабаліст,Kabalist,Kabalist
L_CLERIC,,Cleric,クレリック,Kleriker,Clerc,Clérigo,Clérigo,Жрец,Chierico,牧師,牧师,성직자,Kleryk,Клірик,Geestelijke,Rahip
L_DRUID,,Druid,ドルイド,Druide,Druide,Druida,Druida,Друид,Druido,德魯伊,德鲁伊,드루이드,Druid,Друїд,Druïde,Druid
L_EVOKER,,Evoker,エヴォーカー,Beschwörer,Évocateur,Evocador,Evocador,Призыватель,Evocatore,喚魔師,唤灵师,에보커,Przywoływacz,Заклинач,Oproeper,Çağırıcı
L_HELL_KNIGHT,,Hell Knight,ヘルナイト,Höllenritter,Chevalier des Enfers,Caballero Infernal,Cavaleiro Infernal,Рыцарь Ада,Cavaliere Infernale,地獄騎士,地狱骑士,지옥 기사,Rycerz Piekieł,Лицар Пекла,Helleridder,Cehennem Şövalyesi
L_INQUISITOR,,Inquisitor,審問官,Inquisitor,Inquisiteur,Inquisidor,Inquisidor,Инквизитор,Inquisitore,審判官,审判官,심문관,Inkwizytor,Інквізитор,Inquisiteur,Sorgulayıcı
L_MONK,,Monk,僧侶,Mönch,Moine,Monje,Monge,Монах,Monaco,武僧,武僧,수도사,Mnich,Монах,Monnik,Keşiş
L_NECROMANCER,,Necromancer,ネクロマンサー,Nekromant,Nécromancien,Nigromante,Necromante,Некромант,Negromante,死靈法師,死灵法师,강령술사,Nekromanta,Некромант,Necromancer,Nekromancer
L_DEFILER,,Defiler,穢れし者,Schänder,Profanateur,Profanador,Profanador,Осквернитель,Profanatore,褻瀆者,污染者,모독자,Plugawiciel,Осквернитель,Bezoedelaar,Kirletici
L_PALADIN,,Paladin,パラディン,Paladin,Paladin,Paladín,Paladino,Паладин,Paladino,聖騎士,圣骑士,팔라딘,Paladyn,Паладин,Paladijn,Şövalye
L_REAVER,,Reaver,リーヴァー,Plünderer,Faucheur,Segador,Ceifador,Жнец,Predatore,掠奪者,掠夺者,약탈자,Łupieżca,Жнець,Plunderaar,Yağmacı
L_SORCERER,,Sorcerer,魔術師,Zauberer,Sorcier,Hechicero,Feiticeiro,Чародей,Stregone,巫師,法师,마법사,Czarodziej,Чаклун,Tovenaar,Büyücü
L_TRIBALIST,,Tribalist,トライバリスト,Stammesanhänger,Tribaliste,Tribalista,Tribalista,Трайбалист,Tribalista,部落主義者,部落主义者,부족주의자,Plemiennik,Трайбаліст,Stamgezinde,Kabileci
L_TRICKSTER,,Trickster,トリックスター,Trickster,Filou,Embaucador,Trapaceiro,Трикстер,Imbroglione,詭術師,诡术师,트릭스터,Oszust,Трикстер,Bedrieger,Hilebaz
L_PYROMANCER,,Pyromancer,パイロマンサー,Pyromant,Pyromancien,Piromante,Piromante,Пиромант,Piromante,火焰法師,火焰法师,화염술사,Piromanta,Піромант,Pyromancer,Ateşbaz
L_BLOODMAGE,,Bloodmage,ブラッドメイジ,Blutmagier,Mage de sang,Mago de sangre,Mago Sangrento,Маг Крови,Mago del Sangue,血法師,血法师,혈마법사,Krwisty Mag,Кровомаг,Bloedmagiër,Kanmajı
L_WARDEN,,Warden,監視者,Wächter,Gardien,Guardián,Guardião,Хранитель,Custode,守衛者,守卫者,감시자,Strażnik,Страж,Bewaker,Muhafız
L_DOOMBRINGER,,Doombringer,ドゥームブリンガー,Unheilsbringer,Porteur de Ruine,Portador de la Perdición,Arauto da Ruína,Вестник Гибели,Portatore di Sventura,毀滅使者,毁灭使者,파멸의 인도자,Zwiastun Zagłady,Носій Загибелі,Onheilsbrenger,Kıyametgetiren
L_ASTROLOGER,,Astrologer,占星術師,Astrologe,Astrologue,Astrólogo,Astrólogo,Астролог,Astrologo,占星師,占星师,점성술사,Astrolog,Астролог,Astroloog,Astrolog
L_SPELLWEAVER,,Spellweaver,スペルウィーバー,Zauberwirker,Tisseur de sorts,Tejehechizos,Tecelão de Feitiços,Чароплёт,Tessitore di Incantesimi,織法者,织法者,주문술사,Tkacz Zaklęć,Чаклун,Tovenaarwever,Büyü Dokuyucu
L_GROVETENDER,,Grovetender,グローブテンダー,Hainwächter,Gardien du Bosquet,Guardián del Bosquecillo,Guardião do Bosque,Хранитель Рощи,Custode del Bosco,林地守護者,林地守护者,숲지기,Opiekun Gaju,Лісовий доглядач,Boshoeder,Koru Bakıcısı
L_FANATIC,,Fanatic,狂信者,Fanatiker,Fanatique,Fanático,Fanático,Фанатик,Fanatico,狂熱者,狂热者,광신자,Fanatyk,Фанатик,Fanatiekeling,Fanatik
L_RUNE_KNIGHT,,Rune Knight,ルーンナイト,Runenritter,Chevalier des Runes,Caballero Rúnico,Cavaleiro das Runas,Рунный Рыцарь,Cavaliere delle Rune,符文騎士,符文骑士,룬 나이트,Rycerz Run,Рунний Лицар,Runenridder,Rün Şövalyesi
L_PURGATORIAN,,Purgatorian,パーガトリアン,Purgatorier,Purgatorien,Purgatoriano,Purgatório,Психопомп,Purgatoriano,煉獄者,炼狱者,연옥의 자,Czyściciel,Чистилищний,Purgatorisch,Purgatoryan
L_SIEGEMASTER,,Siegemaster,シージマスター,Belagerungsmeister,Maître de Siège,Maestro de Asedio,Mestre de Cerco,Мастер Осады,Maestro d'Assedio,攻城大師,攻城大师,공성 대가,Mistrz Oblężenia,Майстер Облоги,Belegeringsmeester,Kuşatma Ustası
L_DREAMSHADE,,Dreamshade,ドリームシェイド,Traumschatten,Ombrerêve,Sombra Onírica,Sombra Onírica,Сноходец,Ombrasogno,夢影,梦影,드림쉐이드,Cieniosennik,Мрієтінь,Droomschaduw,Rüyagölge
L_ROYAL,,Royal,ロイヤル,Königlich,Royal,Real,Real,Монарх,Reale,皇家,皇家,왕실,Królewski,Королівський,Koninklijk,Kraliyet
L_WINDRUNNER,,Windrunner,ウィンドランナー,Windläufer,Courvent,Correvientos,Corredora dos Ventos,Ветрокрыл,Windrunner,風行者,风行者,윈드러너,Wiatrobieżca,Вітрогон,Windloper,Rüzgarkoşucu
L_WITCH_DOCTOR,,Witch Doctor,呪術医,Hexendoktor,Sorcier Vaudou,Médico Brujo,Médico Feiticeiro,Знахарь,Stregone,巫醫,巫医,주술사,Szaman,Знахар,Heksenmeester,Büyücü Doktor
L_GLADIATOR,,Gladiator,グラディエーター,Gladiator,Gladiateur,Gladiador,Gladiador,Гладиатор,Gladiatore,角鬥士,角斗士,검투사,Gladiator,Гладіатор,Gladiator,Gladyatör
L_BREWMASTER,,Brewmaster,醸造師,Braumeister,Maître brasseur,Maestro Cervecero,Mestre Cervejeiro,Пивовар,Mastro Birraio,釀酒大師,酿酒大师,양조 명인,Mistrz Warzenia,Бровар,Brouwmeester,Biracı
L_PARIAH,,Pariah,パリア,Ausgestoßener,Paria,Paria,Pária,Изгой,Paria,棄民,贱民,추방자,Parias,Вигнанець,Verstotene,Parya
L_DEPRIVED,,Deprived,剥奪された,Beraubt,Démuni,Despojado,Despojado,Обделённый,Spogliato,貧困者,贫穷者,빈곤한,Pozbawiony,Знедолений,Berooid,Yoksun
L_ENGINEER,,Engineer,エンジニア,Ingenieur,Ingénieur,Ingeniero,Engenheiro,Инженер,Ingegnere,工程師,工程师,기술자,Inżynier,Інженер,Ingenieur,Mühendis
L_MESMERIST,,Mesmerist,メスメリスト,Mesmerist,Hypnotiseur,Hipnotizador,Mesmerista,Месмерист,Mesmerista,催眠師,催眠师,현혹술사,Mesmeryta,Месмерист,Mesmerist,Hipnotizmacı
L_MERMAID,,Mermaid,マーメイド,Meerjungfrau,Sirène,Sirena,Sereia,Русалка,Sirena,人魚,人鱼,인어,Syrena,Русалка,Zeemeermin,Denizkızı
L_ANTIQUARIAN,,Antiquarian,骨董品収集家,Antiquar,Antiquaire,Anticuario,Antiquário,Антиквар,Antiquario,古董商,古董商,골동품 수집가,Antykwariusz,Антиквар,Oudheidkundige,Antikacı
L_MIME,,Mime,マイム,Mime,Mime,Mimo,Mímico,Мим,Mimo,啞劇演員,哑剧师,마임,Mim,Мім,Mime,Pandomim
L_GRAVEBORN,,Graveborn,グレイヴボーン,Grabgeborener,Mortnés,Nacido de la Tumba,Nascido do Túmulo,Восставший,Natomorto,墓生者,墓生者,그레이브본,Zrodzony z Grobu,Могильнороджений,Grafgeborene,Mezardoğan
L_SHADOWBRINGER,,Shadowbringer,シャドウブリンガー,Schattenbringer,Porteur d'Ombre,Portador de Sombras,Portador das Sombras,Теневержец,Portatore d'Ombra,暗影使者,影裂者,그림자인도자,Niosący Cień,Тіньоносець,Schaduwbrenger,Gölgegetiren
L_DEMONOLOGIST,,Demonologist,悪魔術師,Dämonologe,Démonologue,Demonólogo,Demonologista,Демонолог,Demonologo,惡魔學家,恶魔学者,악마학자,Demonolog,Демонолог,Demonoloog,Şeytanbilimci
L_TOXICOLOGIST,,Toxicologist,毒物学者,Toxikologe,Toxicologue,Toxicólogo,Toxicologista,Токсиколог,Tossicologo,毒物學家,毒物学家,독물학자,Toksykolog,Токсиколог,Toxicoloog,Toksikolog
L_RANDOM,,Random,ランダム,Zufällig,Aléatoire,Aleatorio,Aleatório,Случайный,Casuale,隨機,随机,무작위,Losowy,Випадковий,Willekeurig,Rastgele
L_ARSENALSPELL,,Arsenal Spell,アーセナル・スペル,Waffenarsenal-Zauber,Sort d'Arsenal,Hechizo de Arsenal,Feitiço de Arsenal,Заклинание Арсенала,Incantesimo dell'Arsenale,軍火魔法,军械法术,무기고 주문,Zaklęcie Arsenału,Заклинання Арсеналу,Arsenaalspreuken,Cephanelik Büyüsü
L_BOOZESPELL,,Booze Spell,酒の呪文,Alkoholzauber,Sort d'Alcool,Hechizo de Alcohol,Feitiço da Bebida,Заклинание Выпивки,Incantesimo Alcolico,酒精魔法,酒精法术,술 주문,Zaklęcie Gorzały,Закляття Бухла,Drankbezwering,İçki Büyüsü
L_PRISMSPELL,,Prism Spell,プリズム・スペル,Prismazauber,Sort de Prisme,Hechizo Prismático,Feitiço Prismático,"Заклинание ""Призма""",Incantesimo Prisma,稜鏡魔法,棱镜法术,프리즘 주문,Zaklęcie Pryzmatu,Призмове закляття,Prismaspreuken,Prizma Büyüsü
L_ULTIMATESPELL,,Ultimate Spell,アルティメットスペル,Ultimativer Zauber,Sort Ultime,Hechizo Supremo,Feitiço Supremo,Высшее Заклинание,Incantesimo Supremo,終極法術,终极法术,궁극의 주문,Ostateczne Zaklęcie,Найвище Закляття,Ultieme Spreuk,Nihai Büyü
L_TIMELINE,,Timeline,タイムライン,Zeitlinie,Chronologie,Línea temporal,Linha do Tempo,Порядок Хода,Cronologia,時間線,时间线,타임라인,Oś czasu,Хронологія,Tijdlijn,Zaman Çizelgesi
L_PROFICIENT,,Proficient,熟練,Versiert,Compétent,Competente,Proficiente,Мастерство,Esperto,精通,精通,숙련된,Biegły,Досвідчений,Bekwaam,Uzman
L_DEFENSIVE,,Defensive,防御的,Defensiv,Défensif,Defensivo,Defensivo,Оборона,Difensivo,防禦,防御,방어적,Defensywny,Оборонний,Defensief,Savunma
L_REPELLING,,Repelling,撃退,Abstoßend,Repoussant,Repeliendo,Repelindo,Отражение,Respingente,排斥,击退,격퇴,Odpychanie,Відштовхування,Afwerend,İtme
L_ARCANE,,Arcane,アーケイン,Arkan,Arcane,Arcano,Arcano,Тайный,Arcano,奧術,奥术,비전,Tajemny,Таємний,Arcaan,Büyülü
L_INVISIBLE,,Invisible,透明,Unsichtbar,Invisible,Invisible,Invisível,Невидимый,Invisibile,隱形,隐形,투명,Niewidzialny,Невидимий,Onzichtbaar,Görünmez
L_BERSERK,,Berserk,バーサーク,Berserker,Berserk,Berserker,Berserk,Берсерк,Furia,狂暴,狂暴,광폭,Szał,Берсерк,Razernij,Çılgın
L_MENDING,,Mending,修復,Heilung,Réparation,Reparación,Remendo,Восстановление,Riparazione,修復,修复,회복,Naprawianie,Лікування,Herstellen,İyileştirme
L_AGILE,,Agile,敏捷,Wendig,Agile,Ágil,Ágil,Ловкость,Agile,敏捷,敏捷,민첩한,Zwinny,Спритний,Behendig,Çevik
L_SHELLED,,Shelled,殻をかぶった,Gepanzert,Carapaçonné,Acorazado,Protegido,Щит,Corazzato,殼甲,有壳的,껍질 있는,Opancerzony,Панцирний,Beschermd,Kabuklu
L_LEECHING,,Leeching,吸収,Aussaugen,Vampirisme,Drenaje,Sugando,Вампиризм,Sanguisuga,吸血,吸血,흡혈,Wysysanie,Вампіризм,Levensdiefstal,Sömürme
L_SAVAGE,,Savage,サベージ,Brutal,Sauvage,Salvaje,Selvagem,Дикость,Selvaggio,野蠻,野蛮,야만적인,Dziki,Дикий,Woest,Vahşi
L_IMMUNE,,Immune,無効,Immun,Immunisé,Inmune,Imune,Иммунитет,Immune,免疫,免疫,면역,Odporny,Імунітет,Immuun,Bağışık
L_REBIRTH,,Rebirth,リバース,Wiedergeburt,Renaissance,Renacimiento,Renascimento,Возрождение,Rinascita,重生,重生,환생,Odrodzenie,Відродження,Wedergeboorte,Yeniden Doğuş
L_WARDED,,Warded,守護された,Geschützt,Protégé,Protegido,Protegido,Оберег,Protetto,受守護,守护,보호됨,Chroniony,Захищений,Beschermd,Korumalı
L_TAUNTING,,Taunting,挑発,Verspotten,Provocation,Provocación,Provocação,Насмешка,Provocazione,嘲諷,嘲讽,도발,Prowokacja,Провокація,Uitdagen,Alay Etme
L_PROTECTED,,Protected,保護された,Geschützt,Protégé,Protegido,Protegido,Защищено,Protetto,受保護,受保护,보호됨,Chroniony,Захищено,Beschermd,Korumalı
L_SPLASHING,,Splashing,スプラッシング,Plätschern,Éclaboussure,Salpicando,Respingando,Всплеск,Spruzzi,濺起水花,飞溅,튀기기,Pluskanie,Бризки,Spetteren,Sıçrama
L_BARRIER,,Barrier,バリア,Barriere,Barrière,Barrera,Barreira,Барьер,Barriera,屏障,屏障,장벽,Bariera,Бар'єр,Barrière,Bariyer
L_POISONED,,Poisoned,毒状態,Vergiftet,Empoisonné,Envenenado,Envenenado,Отравление,Avvelenato,中毒,中毒,중독됨,Zatruty,Отруєний,Vergiftigd,Zehirlenmiş
L_BURNING,,Burning,燃焼,Brennend,Brûlant,Ardiente,Queimando,Горение,Bruciante,燃燒,燃烧,불타는,Płonący,Горіння,Brandend,Yanma
L_CONFUSED,,Confused,混乱,Verwirrt,Confus,Confundido,Confuso,Замешательство,Confuso,混亂,混乱,혼란,Zdezorientowany,Спантеличений,Verward,Kafası Karışık
L_FROZEN,,Frozen,凍結,Eingefroren,Gelé,Congelado,Congelado,Заморозка,Congelato,冰凍,冻结,빙결,Zamrożony,Заморожений,Bevroren,Donmuş
L_STONE,,Stone,石,Stein,Pierre,Piedra,Pedra,Окаменение,Pietra,石頭,石头,돌,Kamień,Камінь,Steen,Taş
L_SLEEPING,,Sleeping,睡眠中,Schlafen,Endormi,Durmiendo,Dormindo,Сон,Dormire,睡眠中,睡眠,수면 중,Spanie,Сон,Slapen,Uyuyor
L_WEAK,,Weak,弱い,Schwach,Faible,Débil,Fraco,Слабость,Debole,弱,弱,약함,Słaby,Слабкий,Zwak,Zayıf
L_CURSED,,Cursed,呪われた,Verflucht,Maudit,Maldito,Amaldiçoado,Проклятие,Maledetto,詛咒,诅咒,저주받은,Przeklęty,Проклятий,Vervloekt,Lanetli
L_SNARED,,Snared,罠にかかった,Gefesselt,Piégé,Atrapado,Enredado,Путы,Intrappolato,被陷阱困住,被捕获,올가미에 걸림,Usidlony,Заплутаний,Verstrikt,Tuzağa Düşmüş
L_SILENCED,,Silenced,沈黙,Verstummt,Réduit au silence,Silenciado,Silenciado,Молчание,Silenziato,沉默,沉默,침묵,Uciszony,Заглушено,Stilgelegd,Susturuldu
L_BLIND,,Blind,盲目,Blind,Aveugle,Ceguera,Cego,Слепота,Cecità,致盲,致盲,실명,Oślepienie,Сліпота,Blind,Kör
L_SCORNED,,Scorned,蔑まれし者,Verschmäht,Méprisé,Despreciado,Desprezado,Презренный,Disprezzato,被輕蔑,被蔑视,경멸받은,Wzgardzony,Зневажений,Versmaad,Hor Görülen
L_BLEEDING,,Bleeding,出血,Blutung,Saignement,Sangrando,Sangrando,Кровотечение,Sanguinamento,流血,流血,출혈,Krwawienie,Кровотеча,Bloedend,Kanama
L_BLIGHTED,,Blighted,荒廃した,Verderbt,Flétri,Maldito,Pestilento,Порча,Corrotto,枯萎,枯萎,황폐한,Skażony,Заражений,Verdorven,Lanetli
L_VULNERABLE,,Vulnerable,弱点,Verwundbar,Vulnérable,Vulnerable,Vulnerável,Уязвимость,Vulnerabile,弱點,易伤,취약,Podatny,Вразливий,Kwetsbaar,Savunmasız
L_FEARED,,Feared,恐れられた,Gefürchtet,Redouté,Temido,Temido,Страх,Temuto,令人畏懼的,令人畏惧的,두려움의 대상,Budzący strach,Страшний,Gevreesd,Korkulan
L_DISARMED,,Disarmed,武装解除,Entwaffnet,Désarmé,Desarmado,Desarmado,Разрушение Оружия,Disarmato,解除武裝,缴械,무장 해제됨,Rozbrojony,Роззброєний,Ontwapend,Silahsız
L_MANIA,,Mania,マニア,Manie,Manie,Manía,Mania,Мания,Mania,狂熱,狂热,광기,Mania,Манія,Manie,Çılgınlık
L_BOMB,,Bomb,爆弾,Bombe,Bombe,Bomba,Bomba,Бомба,Bomba,炸彈,炸弹,폭탄,Bomba,Бомба,Bom,Bomba
L_INVERTED,,Inverted,反転,Invertiert,Inversé,Invertido,Invertido,Инверсия,Invertito,反轉,反转,역전된,Odwrócony,Перевернутий,Omgekeerd,Ters
L_ANIMATEDGEM,,Animated Gem,アニメーテッドジェム,Animierter Edelstein,Gemme animée,Gema Animada,Gema Animada,Живой Камень,Gemma Animata,活靈寶石,活力宝石,활성화된 보석,Ożywiony Klejnot,Анімований самоцвіт,Geanimeerde Edelsteen,Canlandırılmış Mücevher
L_ANIMATEDWEAPON,,Animated Weapon,アニメイテッド・ウェポン,Belebte Waffe,Arme Animée,Arma Animada,Arma Animada,Живое Оружие,Arma Animata,活化武器,活化武器,활성화된 무기,Ożywiona Broń,Анімована Зброя,Bezield Wapen,Canlandırılmış Silah
L_CONQUEST,,Conquest,征服,Eroberung,Conquête,Conquista,Conquista,Раздор,Conquista,征服,征服,정복,Podbój,Завоювання,Verovering,Fetih
L_DEATH,,Death,死,Tod,Mort,Muerte,Morte,Смерть,Morte,死亡,死亡,죽음,Śmierć,Смерть,Dood,Ölüm
L_WAR,,War,戦争,Krieg,Guerre,Guerra,Guerra,Война,Guerra,戰爭,战争,전쟁,Wojna,Війна,Oorlog,Savaş
L_FAMINE,,Famine,飢饉,Hungersnot,Famine,Hambruna,Fome,Голод,Carestia,饑荒,饥荒,기근,Głód,Голод,Hongersnood,Kıtlık
L_GUARDIANOFSURATHLI,,Guardian of Surathli,スラスリの守護者,Wächter von Surathli,Gardien de Surathli,Guardián de Surathli,Guardião de Surathli,Страж Суратли,Guardiano di Surathli,蘇拉斯利的守護者,苏拉斯利的守护者,수라틀리의 수호자,Strażnik Surathli,Страж Суратлі,Beschermer van Surathli,Surathli'nin Koruyucusu
L_ILLUSION,,Illusion,幻影,Illusion,Illusion,Ilusión,Ilusão,Иллюзия,Illusione,幻象,幻象,환영,Iluzja,Ілюзія,Illusie,İllüzyon
L_INNERDEMONS,,Inner Demons,内なる悪魔,Innere Dämonen,Démons Intérieurs,Demonios Internos,Demônios Interiores,Внутренние Демоны,Demoni Interiori,內心惡魔,内心恶魔,내면의 악마,Wewnętrzne Demony,Внутрішні Демони,Innerlijke Demonen,İç Şeytanlar
L_TORUNJUNIOR,,Torun Junior,トルン・ジュニア,Torun Junior,Torun Junior,Torun Junior,Torun Júnior,Торун Младший,Torun Junior,托倫少年,托伦少年,토룬 주니어,Torun Junior,Торун Молодший,Torun Junior,Torun Junior
L_UNSTABLEHORROR,,Unstable Horror,アンステイブル・ホラー,Instabiler Schrecken,Horreur instable,Horror Inestable,Horror Instável,Нестабильный Ужас,Orrore Instabile,不穩定恐魔,不稳定恐魔,불안정한 공포,Niestabilny Horror,Нестабільний Жах,Onstabiele Gruwel,Kararsız Dehşet
L_SPIDERLINGS,,Spiderlings,スパイダーリング,Spinnlinge,Araignées,Arañuelas,Aracnídeos,Паучата,Ragnateline,小蜘蛛,蜘蛛幼崽,거미 유충,Pajątkowie,Павучата,Spinnetjes,Örümcek Yavruları
L_WRITHELINGS,,Writhelings,リズリング,Windlinge,Tortillants,Retorcidos,Contorcidos,Корчуны,Contorcenti,扭曲魔物,扭曲魔物,몸부림치는 자,Wijące się Istoty,Звивні,Kronkelingen,Kıvranlar
L_ZOMBIES,,Zombies,ゾンビ,Zombies,Zombies,Zombis,Zumbis,Зомби,Zombi,殭屍,僵尸,좀비,Zombie,Зомбі,Zombies,Zombiler
L_DIREWOLVES,,Dire Wolves,ダイアウルフ,Schreckenswölfe,Loups Sinistres,Lobos Terribles,Lobos Terríveis,Лютые Волки,Lupi Feroci,凶狼,恶狼,다이어 울프,Straszliwe Wilki,Жахливі Вовки,Grimmige Wolven,Korkunç Kurtlar
L_DOPPELGANGER,,Doppelganger,ドッペルゲンガー,Doppelgänger,Doppelgänger,Doppelgänger,Doppelgänger,Двойник,Doppelganger,分身,分身,도플갱어,Sobowtór,Доппельгангер,Dubbelganger,Doppelganger
L_AMALGAMATION,,Amalgamation,アマルガメーション,Verschmelzung,Amalgamation,Amalgama,Amalgamação,Амальгама,Amalgama,融合體,融合,융합체,Amalgamat,Амальгамація,Samensmelting,Birleşim
L_MICROBOTS,,Microbots,マイクロボット,Mikroboter,Microbots,Microbots,Microbots,Микроботы,Microbot,微型機器人,微型机器人,마이크로봇,Mikroroboty,Мікроботи,Microbots,Mikrobotlar
L_MAMMON,,Mammon,マモン,Mammon,Mammon,Mammon,Mammon,Маммон,Mammona,瑪門,玛门,맘몬,Mammon,Маммон,Mammon,Mammon
L_LEVIATHAN,,Leviathan,リヴァイアサン,Leviathan,Léviathan,Leviatán,Leviatã,Левиафан,Leviatano,利維坦,利维坦,레비아탄,Lewiatan,Левіафан,Leviathan,Leviathan
L_BEELZEBUB,,Beelzebub,ベルゼブブ,Beelzebub,Belzébuth,Belcebú,Belzebu,Вельзевул,Beelzebub,別西卜,别西卜,벨제붑,Belzebub,Вельзевул,Beëlzebub,Beelzebub
L_BELPHEGOR,,Belphegor,ベルフェゴール,Belphegor,Belphegor,Belphegor,Belphegor,Бельфегор,Belphegor,貝爾菲戈爾,贝尔菲戈尔,벨페고르,Belphegor,Бельфегор,Belphegor,Belphegor
L_ASMODEUS,,Asmodeus,アスモデウス,Asmodeus,Asmodeus,Asmodeus,Asmodeus,Асмодей,Asmodeus,阿斯莫德斯,阿斯莫德,아스모데우스,Asmodeus,Асмодей,Asmodeus,Asmodeus
L_SATANACHIA,,Satanachia,サタナキア,Satanachia,Satanachia,Satanachia,Satanachia,Сатанакья,Satanachia,撒旦納奇亞,撒旦纳奇亚,사타나키아,Satanachia,Сатанахія,Satanachia,Satanachia
