Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_MANTICORE,,Manticore,マンティコア,Mantikor,Manticore,Mantícora,Manticora,Мантикора,Manticora,蠍尾獅,蝎尾狮,맨티코어,Mantykora,Мантикора,Manticore,Mantikor
L_MINOTAUR,,Minotaur,ミノタウロス,Minotaurus,Minotaure,Minotauro,Minotauro,Минотавр,Minotauro,牛頭人,牛头人,미노타우르스,Minotaur,Мінотавр,Minotaurus,Minotaur
L_SALAMANDER,,Salamander,サラマンダー,Salamander,Salamandre,Salamandra,Salamandra,Саламандра,Salamandra,火蜥蜴,火蜥蜴,샐러맨더,Salamandra,Саламандра,Salamander,Semender
L_SMOG,,Smog,スモッグ,Smog,Brume,Smog,Fumaça,Смог,Smog,煙霧,烟雾,스모그,Smog,Смог,Smog,Sis
L_TANUKROOK,,Tanukrook,タヌクルック,Tanukrook,Tanukrook,Tanukrook,Tanukrook,Танукрук,Tanukrook,狸猴賊,狸猴,타누크룩,Tanukrook,Танукрук,Tanukrook,Tanukrook
L_TOXDWELLER,,Toxdweller,トックスドゥエラー,Giftbewohner,Toxhabitant,Moratóxico,Toxmorador,Токсер,Abitante Tossico,毒居者,毒居者,독거주자,Toksomieszkańcy,Токсожитель,Gifbewoner,Zehirdelen
L_WYVERN,,Wyvern,ワイバーン,Wyvern,Wyverne,Guiverno,Serpe,Виверна,Viverna,飛龍,飞龙,와이번,Wywerna,Віверна,Wyvern,Wyvern
L_ABOMINATION,,Abomination,アボミネーション,Abscheulichkeit,Abomination,Abominación,Abominação,Поганище,Abominio,憎惡生物,憎恶,혐오생물,Abominacja,Мерзота,Gruwel,Ucube
L_BANSHEE,,Banshee,バンシー,Banshee,Banshee,Banshee,Banshee,Банши,Banshee,女妖,女妖,밴시,Banshee,Банші,Banshee,Banshee
L_CARNAGE,,Carnage,カーネイジ,Gemetzel,Carnage,Carnicería,Carnificina,Резня,Carneficina,屠殺,屠杀,대학살,Rzeź,Різанина,Bloedbad,Katliam
L_FORSAKEN,,Forsaken,見捨てられし,Verlassen,Abandonné,Abandonado,Abandonado,Отверженный,Abbandonato,被遺棄者,被遗弃者,버림받은,Opuszczony,Покинутий,Verlaten,Terk Edilmiş
L_GHOUL,,Ghoul,グール,Ghul,Goule,Necrófago,Carniçal,Упырь,Ghoul,食屍鬼,食尸鬼,구울,Ghul,Гуль,Ghoul,Gulyabani
L_HEMOMANCER,,Hemomancer,ヘモマンサー,Blutmagier,Hémomancien,Hemomante,Hemomante,Гемомант,Emomante,血法師,血法师,혈법사,Hemomanta,Гемомант,Bloedmagiër,Kan Büyücüsü
L_HOUND,,Hound,ハウンド,Hund,Molosse,Sabueso,Cão de Caça,Гончая,Segugio,獵犬,猎犬,사냥개,Ogar,Гончак,Hond,Tazı
L_LEECH,,Leech,吸血,Aussauger,Sangsue,Sanguijuela,Sanguessuga,Пьявка,Sanguisuga,吸血,吸血,흡혈,Pijawka,Вампір,Bloedzuiger,Sülük
L_LEPER,,Leper,レパー,Aussätziger,Lépreux,Leproso,Leproso,Прокажённый,Lebbroso,痲瘋病患,麻风病患者,나병환자,Trędowaty,Прокажений,Melaatse,Cüzzamlı
L_LICH,,Lich,リッチ,Lich,Liche,Lich,Lich,Лич,Lich,巫妖,巫妖,리치,Licz,Ліч,Lich,Lih
L_MUMMY,,Mummy,ミイラ,Mumie,Momie,Momia,Múmia,Мумия,Mummia,木乃伊,木乃伊,미라,Mumia,Мумія,Mummie,Mumya
L_NIX,,Nix,ニックス,Nichts,Nix,Nix,Nix,Никса,Nix,尼克斯,零,닉스,Nix,Нікс,Nix,Nix
L_OSSEIN,,Ossein,オセイン,Ossein,Osséine,Óseo,Osseína,Оссеин,Osseina,骨素,骨素,골소,Kościec,Кістяк,Beenweefsel,Kemik Özü
L_PIT_WORM,,Pit Worm,ピットワーム,Grubenkreatur,Ver des Fosses,Gusano de Fosa,Verme do Abismo,Червь из Ямы,Verme del Pozzo,坑蟲,深坑蠕虫,구덩이 벌레,Robak z Jamy,Ямовий Черв'як,Putwormpje,Çukur Solucanı
L_PIT_WRAITH,,Pit Wraith,ピットレイス,Grubengeist,Spectre des Abysses,Espectro del Abismo,Espectro do Abismo,Призрак Ямы,Spettro della Fossa,深淵幽魂,深坑幽灵,구덩이 망령,Upiór z Otchłani,Примарний Провал,Putgeest,Çukur Hayaleti
L_REAPER,,Reaper,リーパー,Sensenmann,Faucheur,Segador,Ceifador,Жнец,Mietitore,死神,死神,사신,Żniwiarz,Женець,Maaier,Biçici
L_REVENANT,,Revenant,レヴナント,Wiedergänger,Revenant,Aparecido,Espectro,Ревенант,Revenant,亡靈,亡灵,망령,Upiór,Ревенант,Geest,Hortlak
L_SHADE,,Shade,シェイド,Schatten,Ombre,Sombra,Sombra,Тень,Ombra,暗影,暗影,그림자,Cień,Тінь,Schaduw,Gölge
L_SHAMBLER,,Sea Shambler,シー・シャンブラー,Meeresschlurfer,Traîneur des Mers,Vagabundo del Mar,Cambaleante do Mar,Морской Шатун,Vagabondo del Mare,海洋蹣跚者,海洋蹒跚者,바다 비틀거리는 자,Morski Włóczęga,Морський Блукач,Zeewandelaar,Deniz Sürükleyicisi
L_SIN,,Sin,罪,Sünde,Péché,Pecado,Pecado,Грех,Peccato,罪惡,罪恶,죄,Grzech,Гріх,Zonde,Günah
L_SKELETON,,Skeleton,スケルトン,Skelett,Squelette,Esqueleto,Esqueleto,Скелет,Scheletro,骷髏,骷髅,스켈레톤,Szkielet,Скелет,Skelet,İskelet
L_SPECTRE,,Spectre,スペクター,Gespenst,Spectre,Espectro,Espectro,Призрак,Spettro,幽魂,幽魂,유령,Widmo,Примара,Spook,Hayalet
L_WIGHT,,Wight,ワイト,Gruftschrat,Nécrophage,Aparecido,Espectro,Умертвие,Spettro,屍妖,尸妖,와이트,Upiór,Примара,Wicht,Hortlak
L_AMARANTH,,Amaranth,アマランス,Amaranth,Amarante,Amaranto,Amaranto,Амарант,Amaranto,紫莧花,紫苋,아마란스,Amarant,Амарант,Amarant,Amarant
L_AMPHISBAENA,,Amphisbaena,アンフィスバエナ,Amphisbaena,Amphisbène,Anfisbena,Anfisbena,Амфисбена,Anfisbena,雙頭蛇,双头蛇,암피스베나,Amfisbena,Амфісбена,Amphisbaena,Amfisbena
L_ANGEL,,Angel,エンジェル,Engel,Ange,Ángel,Anjo,Ангел,Angelo,天使,天使,천사,Anioł,Ангел,Engel,Melek
L_APIS,,Apis,アピス,Apis,Apis,Apis,Apis,Апис,Apis,阿皮斯,阿匹斯,아피스,Apis,Апіс,Apis,Apis
L_CRUSADER,,Crusader,クルセイダー,Kreuzritter,Croisé,Cruzado,Cruzado,Крестоносец,Crociato,聖騎士,圣骑士,성기사,Krzyżowiec,Хрестоносець,Kruisvaarder,Haçlı
L_DEMIGOD,,Demigod,デミゴッド,Halbgott,Demi-dieu,Semidiós,Semideus,Полубог,Semidio,半神,半神,반신,Półbóg,Напівбог,Halfgod,Yarıtanrı
L_GRIFFON,,Griffon,グリフォン,Greif,Griffon,Grifo,Grifo,Грифон,Grifone,獅鷲獸,狮鹫,그리폰,Gryf,Грифон,Griffioen,Grifon
L_KOLOSS,,Koloss,コロス,Koloss,Koloss,Koloss,Koloss,Колосс,Koloss,巨魔,巨怪,콜로스,Koloss,Колос,Koloss,Koloss
L_FLAYER,,Soulflayer,ソウルフレイヤー,Seelenschinder,Dévoreur d'âmes,Desollador de almas,Devorador de Almas,Свежеватель Душ,Divoratore di Anime,靈魂剝奪者,灵魂掠夺者,영혼약탈자,Pożeracz Dusz,Пожирач душ,Zielenviller,Ruhyüzücü
L_OPHAN,,Ophan,オーファン,Ophan,Ophan,Ophan,Ophan,Офан,Ophan,奧凡,奥凡,오판,Ophan,Офан,Ophan,Ophan
L_PARAGON,,Paragon,パラゴン,Paragon,Parangon,Parangón,Paradigma,Парагон,Paragone,典範,典范,모범,Wzorzec,Взірець,Toonbeeld,Örnek
L_PRIEST,,Priest,僧侶,Priester,Prêtre,Sacerdote,Sacerdote,Жрец,Sacerdote,祭司,牧师,사제,Kapłan,Жрець,Priester,Rahip
L_RIFTDANCER,,Rift Dancer,リフトダンサー,Dimensionsläufer,Danseur de Faille,Bailarín de Grietas,Dançarino das Fendas,Танцовщица Разлома,Danzatore del Varco,裂隙舞者,裂隙舞者,리프트 댄서,Tancerz Szczelin,Танцівник Розломів,Riftdanser,Yarık Dansçısı
L_SANCTUS,,Sanctus,サンクトゥス,Sanctus,Sanctus,Sanctus,Sanctus,Добродетель,Sanctus,聖靈,圣域,생츄스,Sanctus,Санктус,Sanctus,Sanctus
L_SERAPH,,Seraph,セラフ,Seraph,Séraphin,Serafín,Serafim,Серафим,Serafino,熾天使,炽天使,세라프,Serafin,Серафим,Serafijn,Seraf
L_SIREN,,Siren,サイレン,Sirene,Sirène,Sirena,Sereia,Сирена,Sirena,海妖,海妖,사이렌,Syrena,Сирена,Sirene,Siren
L_SPHINX,,Sphinx,スフィンクス,Sphinx,Sphinx,Esfinge,Esfinge,Сфинкс,Sfinge,獅身人面像,斯芬克斯,스핑크스,Sfinks,Сфінкс,Sfinx,Sfenks
L_SPIRIT,,Spirit,精霊,Geist,Esprit,Espíritu,Espírito,Дух,Spirito,靈魂,灵魂,정신,Duch,Дух,Geest,Ruh
L_STAG,,Stag,牡鹿,Hirsch,Cerf,Ciervo,Cervo,Олень,Cervo,雄鹿,雄鹿,수사슴,Jeleń,Олень,Hert,Geyik
L_UNGUIDED,,Unguided,導かれざる,Ungeführt,Sans guide,Sin guía,Sem guia,Безбожник,Senza guida,無引導,无引导,안내되지 않은,Bez przewodnika,Некерований,Ongeleid,Rehbersiz
L_UNICORN,,Unicorn,ユニコーン,Einhorn,Licorne,Unicornio,Unicórnio,Единорог,Unicorno,獨角獸,独角兽,유니콘,Jednorożec,Єдиноріг,Eenhoorn,Tek Boynuzlu At
L_VALKYRIE,,Valkyrie,ヴァルキリー,Walküre,Valkyrie,Valquiria,Valquíria,Валькирия,Valchiria,女武神,女武神,발키리,Walkiria,Валькірія,Walkure,Valkyrie
L_VULPES,,Vulpes,ヴルペス,Vulpes,Vulpes,Vulpes,Vulpes,Вульпес,Volpe,狐狸,狐狸,불페스,Vulpes,Вульпес,Vos,Tilki
L_ARACHNALISK,,Arachnalisk,アラクナリスク,Arachnalisk,Arachnalisk,Aracnalisco,Aracnalisco,Арахналиск,Aracnalisco,蛛魔,蛛魔,아라크날리스크,Arachnalisk,Арахналіск,Arachnalisk,Örümcekdehşet
L_ASPECT,,Aspect,アスペクト,Aspekt,Aspect,Aspecto,Aspecto,Аспект,Aspetto,特性,特性,특성,Aspekt,Аспект,Aspect,Görünüm
L_BROWNIE,,Brownie,ブラウニー,Brownie,Brownie,Brownie,Brownie,Брауни,Folletto,布朗尼,布朗尼,브라우니,Chochlik,Брауні,Brownie,Brownie
L_CENTAUR,,Centaur,ケンタウロス,Zentaur,Centaure,Centauro,Centauro,Кентавр,Centauro,半人馬,半人马,켄타우로스,Centaur,Кентавр,Centaur,Sentaur
L_DRYAD,,Dryad,ドライアド,Dryade,Dryade,Dríada,Dríade,Дриада,Driade,樹精,树妖,드라이어드,Driada,Дріада,Bosnimf,Dryad
L_EFT,,Eft,エフト,Eft,Triton,Eft,Eft,Эфт,Eft,小蠑螈,小蜥蜴,도마뱀,Jaszczurka,Ефт,Salamanderlarve,Eft
L_ENT,,Ent,エント,Ent,Ent,Ent,Ent,Энт,Ent,樹人,树人,엔트,Ent,Ент,Ent,Ent
L_ELF,,Elf,エルフ,Elf,Elfe,Elfo,Elfo,Эльф,Elfo,精靈,精灵,엘프,Elf,Ельф,Elf,Elf
L_GARGANTUAN,,Gargantuan,ギガンティック,Gigantisch,Gargantuesque,Gigantesco,Gigantesco,Исполин,Gigantesco,巨大無比,庞大,거대한,Gigantyczny,Гігантський,Gigantisch,Devasa
L_GIANT,,Giant,ジャイアント,Riese,Géant,Gigante,Gigante,Великан,Gigante,巨人,巨人,거인,Gigant,Гігант,Reus,Dev
L_HUNTER,,Hunter,ハンター,Jäger,Chasseur,Cazador,Caçador,Охотник,Cacciatore,獵人,猎人,사냥꾼,Łowca,Мисливець,Jager,Avcı
L_IMLER,,Imler,イムラー,Imler,Imler,Imler,Imler,Имлер,Imler,伊姆勒,伊姆勒,임러,Imler,Імлер,Imler,İmler
L_IMLING,,Imling,イムリング,Imling,Imling,Imling,Imling,Имлинг,Imling,伊姆林,伊姆林,임링,Imling,Імлінг,Imling,İmling
L_IMP,,Imp,インプ,Kobold,Diablotin,Diablillo,Diabrete,Бес,Folletto,小惡魔,小恶魔,임프,Chochlik,Біс,Kobold,İfrit
L_INQUISITOR,,Inquisitor,審問官,Inquisitor,Inquisiteur,Inquisidor,Inquisidor,Инквизитор,Inquisitore,審判官,审判官,심문관,Inkwizytor,Інквізитор,Inquisiteur,Sorgulayıcı
L_MITE,,Mite,ダニ,Milbe,Mite,Ácaro,Ácaro,Клещ,Acaro,蟎,螨虫,진드기,Kleszcz,Кліщ,Mijt,Akar
L_PILWIZ,,Pilwiz,ピルウィズ,Pilwiz,Pilwiz,Pilwiz,Pilwiz,Пилвиз,Pilwiz,皮爾維茲,皮尔维兹,필위즈,Pilwiz,Пілвіз,Pilwiz,Pilwiz
L_SATYR,,Satyr,サテュロス,Satyr,Satyre,Sátiro,Sátiro,Сатир,Satiro,薩提爾,萨特,사티로스,Satyr,Сатир,Satyr,Satir
L_SNAPTRAP,,Snaptrap,スナップトラップ,Schnappfalle,Piège-éclair,Cepo,Armadilha,Ловушка,Trappola,捕捉陷阱,捕捉陷阱,스냅트랩,Potrzask,Капкан,Klemval,Kapantuzak
L_STORM,,Storm,嵐,Sturm,Tempête,Tormenta,Tempestade,Шторм,Tempesta,風暴,风暴,폭풍,Burza,Буря,Storm,Fırtına
L_TREMOR,,Tremor,震動,Beben,Séisme,Temblor,Tremor,Тремор,Tremito,震顫,震颤,진동,Wstrząs,Тремтіння,Beving,Sarsıntı
L_TROLL,,Troll,トロール,Troll,Troll,Trol,Troll,Тролль,Troll,巨魔,巨魔,트롤,Troll,Троль,Trol,Trol
L_WASPID,,Waspid,ワスピッド,Wespid,Guêpide,Avispido,Vespídeo,Оса,Vespide,蜂蟲,黄蜂虫,와스피드,Waspid,Оспід,Wespid,Eşekarısı
L_WOLPERTINGER,,Wolpertinger,ヴォルペルティンガー,Wolpertinger,Wolpertinger,Wolpertinger,Wolpertinger,Вольпертингер,Wolpertinger,狼兔獸,沃珀廷格,볼퍼팅거,Wolpertinger,Вольпертінгер,Wolpertinger,Wolpertinger
L_BARD,,Bard,吟遊詩人,Barde,Barde,Bardo,Bardo,Бард,Bardo,吟遊詩人,吟游诗人,음유시인,Bard,Бард,Bard,Ozan
L_DJINN,,Djinn,ジン,Djinn,Djinn,Djinn,Djinn,Джинн,Djinn,精靈,神灵,정령,Dżinn,Джин,Djinn,Cin
L_DRAGON,,Dragon,ドラゴン,Drache,Dragon,Dragón,Dragão,Дракон,Drago,龍,龙,드래곤,Smok,Дракон,Draak,Ejderha
L_EFREET,,Efreet,イフリート,Efreet,Efreet,Efreet,Efreet,Ифрит,Efreet,伊弗利特,伊夫利特,이프리트,Ifryt,Іфрит,Efreet,Ifrit
L_FAMILIAR,,Familiar,使い魔,Vertraut,Familier,Familiar,Familiar,Фамильяр,Famiglio,熟悉,熟悉,친숙한,Znajomy,Знайомий,Vertrouwd,Tanıdık
L_GOLEM,,Golem,ゴーレム,Golem,Golem,Gólem,Golem,Голем,Golem,魔像,魔像,골렘,Golem,Голем,Golem,Golem
L_ANIMATUS,,Animatus,アニマタス,Animatus,Animatus,Animatus,Animatus,Анимат,Animatus,活靈體,活化者,애니마투스,Animatus,Анімат,Animatus,Animatus
L_GORGON,,Gorgon,ゴルゴン,Gorgone,Gorgone,Gorgona,Górgona,Горгона,Gorgone,蛇髮女妖,蛇发女妖,고르곤,Gorgona,Горгона,Gorgon,Gorgon
L_GRIMOIRE,,Grimoire,グリモワール,Grimoire,Grimoire,Grimorio,Grimório,Гримуар,Grimorio,魔法書,魔法书,마법서,Grimuar,Гримуар,Grimoire,Büyü Kitabı
L_MASOCHIST,,Masochist,マゾヒスト,Masochist,Masochiste,Masoquista,Masoquista,Мазохист,Masochista,受虐狂,受虐狂,마조히스트,Masochista,Мазохіст,Masochist,Mazoşist
L_OCCULTIST,,Occultist,オカルティスト,Okkultist,Occultiste,Ocultista,Ocultista,Оккультист,Occultista,神秘術士,术士,오컬티스트,Okultysta,Окультист,Occultist,Okültist
L_PHASEWARRIOR,,Phase Warrior,フェイズウォリアー,Phasenkrieger,Guerrier de Phase,Guerrero de Fase,Guerreiro de Fase,Фазовый Воин,Guerriero di Fase,相位戰士,相位战士,페이즈 워리어,Wojownik Fazowy,Фазовий Воїн,Fasestrijder,Faz Savaşçısı
L_PHOENIX,,Phoenix,フェニックス,Phönix,Phénix,Fénix,Fênix,Феникс,Fenice,鳳凰,凤凰,피닉스,Feniks,Фенікс,Feniks,Anka
L_PLAGUEDOCTOR,,Plague Doctor,疫病医師,Seuchendoktor,Médecin de la Peste,Médico de la Peste,Médico da Peste,Чумной Доктор,Medico della Peste,瘟疫醫生,瘟疫医生,역병 의사,Doktor Dżumy,Чумний Лікар,Pestdokter,Veba Doktoru
L_RAVEN,,Raven,レイヴン,Rabe,Corbeau,Cuervo,Corvo,Ворон,Corvo,烏鴉,乌鸦,레이븐,Kruk,Ворон,Raaf,Kuzgun
L_SHADOW,,Shadow,影,Schatten,Ombre,Sombra,Sombra,Тень,Ombra,暗影,暗影,그림자,Cień,Тінь,Schaduw,Gölge
L_SLIME,,Slime,スライム,Schleim,Slime,Limo,Limo,Слизь,Melma,史萊姆,史莱姆,슬라임,Szlam,Слиз,Slijm,Balçık
L_SMITH,,Smith,スミス,Schmied,Forgeron,Herrero,Ferreiro,Кузнец,Fabbro,鐵匠,铁匠,대장장이,Kowal,Коваль,Smid,Demirci
L_SPARKTAIL,,Sparktail,スパークテイル,Funkelschwanz,Queueflammée,Colabrillante,Caudafaísca,Искрохвост,Codaspina,火花尾,火尾,스파크테일,Iskroogon,Іскрохвіст,Vonkstaart,Kıvılcımkuyruk
L_VOIDLORD,,Voidlord,ヴォイドロード,Leerenfürst,Seigneur du Néant,Señor del Vacío,Senhor do Vazio,Пустотник,Signore del Vuoto,虛空領主,虚空领主,공허군주,Władca Pustki,Володар Порожнечі,Leegteheer,Boşluk Lordu
L_VORTEX,,Vortex,ヴォルテックス,Vortex,Vortex,Vórtice,Vórtice,Вихрь,Vortice,漩渦,漩涡,소용돌이,Wir,Вихор,Vortex,Girdap
L_WATCHER,,Watcher,監視者,Beobachter,Observateur,Observador,Observador,Наблюдатель,Osservatore,觀察者,观察者,감시자,Obserwator,Спостерігач,Wachter,İzleyici
L_WISP,,Wisp,ウィスプ,Irrlicht,Feu follet,Fuego Fatuo,Fogo-fátuo,Огонёк,Fuoco Fatuo,幽靈,鬼火,위습,Ognik,Віхола,Dwaallicht,Ateşböceği
L_YETI,,Yeti,イエティ,Yeti,Yéti,Yeti,Yeti,Йети,Yeti,雪怪,雪人,설인,Yeti,Єті,Yeti,Yeti
L_ALEMENTAL,,Alemental,アレメンタル,Alemental,Alemental,Alemental,Alemental,Пивной Элементаль,Alemental,元素靈,元素精灵,알레멘탈,Alemental,Алементаль,Alemental,Alemental
L_AVATAR,,Avatar,アバター,Avatar,Avatar,Avatar,Avatar,Аватар,Avatar,化身,化身,아바타,Awatar,Аватар,Avatar,Avatar
L_CARBUNCLE,,Carbuncle,カーバンクル,Karfunkel,Carbuncle,Carbuncle,Carbúnculo,Карбункул,Carbuncle,珍寶獸,石榴石,카벙클,Karbunkuł,Карбункул,Carbuncle,Karbonkül
L_CONSTRUCT,,Construct,構築,Konstrukt,Construire,Construir,Construir,Конструкт,Costruire,建造,建造,건설,Konstrukt,Конструкт,Constructie,İnşa Et
L_CRUNCHER,,Cruncher,クランチャー,Knirscher,Broyeur,Triturador,Triturador,Дробитель,Schiacciatutto,壓碎者,嚼碎者,크런처,Miażdżyciel,Трощило,Vergruizer,Ezici
L_DUMPLING,,Dumpling,団子,Knödel,Boulette,Albóndiga,Bolinho,Пельмень,Raviolo,餃子,饺子,만두,Pierożek,Пельмень,Knoedel,Mantı
L_GEMLING,,Gemling,ジェムリング,Edelsteinjüngling,Gemling,Gema,Gema,Самоцвет,Gemling,寶石靈,宝石灵,보석인간,Klejnocik,Самоцвіт,Edelsteentje,Taşcık
L_GODSPAWN,,Godspawn,ゴッドスポーン,Gottesbrut,Progéniture Divine,Progenie Divina,Progênie Divina,Богорожденный,Progenie Divina,神裔,神裔,신의 자손,Boski Pomiot,Богонароджений,Godenkind,Tanrıdoğumu
L_MIMIC,,Mimic,ミミック,Mimik,Mimique,Mímico,Mímico,Мимик,Mimic,擬態,拟态,미믹,Mimik,Мімік,Nabootser,Taklitçi
L_SHAPESHIFTER,,Shapeshifter,シェイプシフター,Gestaltwandler,Métamorphe,Cambiaformas,Metamorfo,Перевёртыш,Mutaforma,變形者,变形者,변신술사,Zmiennokształtny,Перевертень,Gedaanteverwisselaar,Şekildeğiştiren
L_COROMON,,Purrghast,パーガスト,Purrghast,Purrghast,Purrghast,Purrghast,Мяугост,Purrghast,喵魂,猫魂,퍼거스트,Purrghast,Муркопривид,Purrghast,Purrghast
L_MONSANC,,Mogwai,モグワイ,Mogwai,Mogwai,Mogwai,Mogwai,Могвай,Mogwai,魔怪,魔怪,모과이,Mogwai,Могвай,Mogwai,Mogwai
L_HERBLING,,Herbling,ハーブリング,Kräuterling,Herbling,Herbario,Ervinha,Травник,Erbetto,草精,草药精,허블링,Zielak,Трав'яник,Kruideling,Otçuk
L_EXOTIC,,Exotic,エキゾチック,Exotisch,Exotique,Exótico,Exótico,Экзотический,Esotico,異國風情,异域,이국적인,Egzotyczny,Екзотичний,Exotisch,Egzotik
L_ANIMATION,,Animation,アニメーション,Animation,Animation,Animación,Animação,Анимация,Animazione,動畫,动画,애니메이션,Animacja,Анімація,Animatie,Animasyon
L_ARBITER,,Arbiter,アービター,Schiedsrichter,Arbitre,Árbitro,Árbitro,Арбитр,Arbitro,仲裁者,仲裁者,중재자,Arbiter,Арбітр,Scheidsrechter,Hakem
L_BEACON,,Beacon,ビーコン,Leuchtfeuer,Balise,Faro,Sinalizador,Маяк,Faro,信標,信标,신호기,Latarnia,Маяк,Baken,İşaret
L_CHERUB,,Cherub,ケルビム,Cherub,Chérubin,Querubín,Querubim,Херувим,Cherubino,小天使,小天使,케루빔,Cherubin,Херувим,Cherubijn,Melek
L_CHIMERA,,Chimera,キメラ,Chimäre,Chimère,Quimera,Quimera,Химера,Chimera,奇美拉,奇美拉,키메라,Chimera,Химера,Chimaera,Kimera
L_CLOCKWORK,,Clockwork,クロックワーク,Uhrwerk,Mécanique,Mecanismo de relojería,Mecanismo,Часовой Механизм,Meccanismo,發條機關,发条机关,태엽장치,Mechanizm zegarowy,Годинниковий механізм,Uurwerk,Kurmalı Mekanizma
L_ELECTROPOD,,Electropod,エレクトロポッド,Elektropod,Électropode,Electrópodo,Eletropodo,Электропод,Elettropodo,電氣蟲,电气荚,일렉트로포드,Elektropod,Електропод,Elektropod,Elektropod
L_KRAKEN,,Kraken,クラーケン,Kraken,Kraken,Kraken,Kraken,Кракен,Kraken,克拉肯,海妖,크라켄,Kraken,Кракен,Kraken,Kraken
L_LUCKMANTRIA,,Luckmantria,ラックマントリア,Luckmantria,Luckmantria,Luckmantria,Luckmantria,Лакмантрия,Luckmantria,幸運蛾妖,幸运蛾,럭맨트리아,Luckmantria,Лакмантрія,Luckmantria,Luckmantria
